"","","","",""
06.08.2014,Zentrale,"Wandteller Hand made, Enamel
Work, Material: Copper)","","Lager
Geschenke"
"","","","",""
17.07.2014,Zentrale,Tisch-Glocke,"",Büro 010-6
"","","","",""
17.07.2014,Zentrale,Manschettenknöpfe Silber-S&B,"","Lager
Geschenke"
"","","","",""
17.07.2014,Zentrale,bunt bemalte Ton-Flöte,"","Lager
Geschenke"
"","","","",""
17.07.2014,Zentrale,"Keramik-Wandteller mit Totenkopf
Motiv","","Lager
Geschenke"
"","","","",""
17.07.2014,Zentrale,Schachspiel,"","Lager
Geschenke"
"","","","",""
17.07.2014,Zentrale,"Silbermedaille, 48mm","","Lager
Geschenke"
"","","","",""
28.08.2014,Zentrale,"Pferd, Silber, auf Sockel","",Büro 010-6
"","","","",""
31.08.2014,Zentrale,"Holzschiff, im Glasrahmen","","Lager
Geschenke"
"","","","",""
16.05.2006,Zentrale,"Aktie 60 Francs Panamakanal
Titre provisoire de 1889 No.
0591229 Gerahmt, 47x43cm","","Lager
Geschenke"
"","","","",""
16.01.2013,Zentrale,"Gemälde ""Porte de Chef"" -
N´Guessan Essah Marcel","","Lager
Geschenke"
"","","","",""
"","","","",""
1996 ???,???,"silberner Teller; Ehrenpreis für 34.
Internationaler NRW-Fußball-Cup","","Lager
Geschenke"
"","","","",""
16.09.2014,Zentrale,"Herrenarmbanduhr Bulgari,
Aumatic mit schwarzem
Lederband","",Tresor
"","","","",""
16.09.2014,Zentrale,"Herrenarmbanduhr Rolex, Modell
Oyster Perpetual Datejust,
Edelstahl",ca. 4.400,Tresor
"","","","",""
01.09.2014,Zentrale,"Obstschale, Perlmutt","",BM-VZ
"","","","",""
06.09.2014,Zentrale,"Wandteller, Holz/Kupfer, Pfau","","Lager
Geschenke"
"","","","",""
06.09.2014,Zentrale,"2 Kerzenständer, Iapislazuli/gold","","Lager
Geschenke"
"","","","",""
06.09.2014,Zentrale,"5armiger Kerzenständer,
labpislazuli/gold","","Lager
Geschenke"
"","","","",""
17.09.2014,Zentrale,"silbernes Pferd auf goldenem
Sockel","","Lager
Geschenke"
"","","","",""
18.09.2014,Zentrale,"Schale, in Form eines
Tabakblatts, Leder/Holz","","Lager
Geschenke"
"","","","",""
18.09.2014,Zentrale,Silberschale mit Deckel,"","Lager
Geschenke"
"","","","",""
04.09.2014,Zentrale,"Druck ""Celtic approach""","","Lager
Geschenke"
"","","","",""
14.09.2014,Zentrale,"Pferdefuß, Silber","","Lager
Geschenke"
"","","","",""
30.09.2014,Zentrale,handgefertigte Schale aus Tabak,"","Lager
Geschenke"
"","","","",""
30.09.2014,Zentrale,Perlmutt-Teller,"","Lager
Geschenke"
"","","","",""
30.09.2014,Zentrale,"Glassockel mit Inschrift ""Als Dank
für Ihren Beitrag zur Saudi
Arabischen Kulturwoche""","","Lager
Geschenke"
"","","","",""
30.09.2014,Zentrale,"Silberteller, 20cm Durchmesser","","Lager
Geschenke"
"","","","",""
"","","","",""
