Datum ,DienststelleBeschreibung ,Wert
"","",1 Fußball und 2 Trikots mit,""
10.03.2010 ,Zentrale ,Brasilien-Rucksack,""
05.03.2010 ,Zentrale ,E-Book „Inves Book 600“ ,299
"","",Münze der Banco Central do,""
10.03.2010 ,Zentrale ,Brasil,""
"","",Buch Kasachstan-Jahr in Dtl.,""
??? ,Zentrale ,2009,""
06.03.2010 ,Zentrale ,Silberschale,""
"","","1 Glasvase, 1 Glasdose mit",""
"","","Deckel (blaues Glas, mit",""
06.03.2010 ,Zentrale ,Blumenverzierung),""
"","",Anhänger für Halskette (Kreuz),""
07.03.2010 ,Zentrale ,aus Lapislazuli,""
"","",2 Medaillen mit Abbildung des,""
"","",Parlaments von Uruguay (eine,""
09.03.2010 ,Zentrale ,runde M und eine rechteckige M.),""
"","",Set mit Weinaccessoires,""
10.03.2010 ,Zentrale ,(Korkenzieher etc.) und ein Trikot,""
"","","Trikot (Signatur Pele), 2 Bücher",""
"","",über Siemens „Siemens in Brazil,""
10.03.2010 ,Zentrale ,– 100 years shaping the future“,""
10.03.2010 ,Zentrale ,3 CDs von Jacob Do Bandolim,""
"","",Ölbild auf Leinwand (nicht auf,""
"","",Rahmen aufgespannt) Motiv:,""
"","",2 kleine Webteppiche mit
"","",Edelsteinen beklebt (ca. 19 cm x
09.03.2010 ,Zentrale ,15 cm groß)
"","","Kiste mit verschiedenen Flöten,"
"","",um Tierstimmen zu imitieren
10.03.2010 ,Zentrale ,(ca.40cm x 25cm)
07.03.2010 ,Zentrale ,Silberner Schmuckanhänger
"","",Aktenhalter aus Leder (ca. 43 cm
09.03.2010 ,Zentrale ,x 35 cm)
"","","Schreibtischset: Schreibunterlage,"
08.03.2010 ,Zentrale ,Brieföffner und Visitenkartenetui
02.04.2010 ,Zentrale ,Speedminton-Schläger
"","",4 Untersetzer mit goldenem
"","",Rahmen und Leder bespannt +
"","",Halter für Untersetzer + Bierkrug
30.03.2010 ,Zentrale ,(Aufschrift: Molson Canadian)
09.01.2010 ,Zentrale ,"""""Krippenspiel"""
"","",Vase aus Holz mit Schnitzerei
"","",(Blumenornamente) und
"","",passender Glasvitrine gerahmt in
"","",Holz (2 Boxen für Vase und
13.04.2010 ,Zentrale ,Vitrine)
"","","""""Krippenspiel"""" Kaffeezeremonie"
01.03.2010 ,Zentrale ,mit goldenen Kaffeekannen etc.
"","",Vase aus Holz mit Schnitzerei
"","",(Blumenornamente) und
"","",passender Glasvitrine gerahmt in
"","",Holz (2 Boxen für Vase und
13.04.2010 ,Zentrale ,Vitrine)
"","","Gelb-grünes Trikot, mit Aufschrift"
09.04.2010 ,Zentrale ,„Westerwelle“
"","",Glaspokal mit eingraviertem
"","",Vogel und Wappen und Aufschrift
"","","„République de Djibouti, Unité –"
11.04.2010 ,Zentrale ,Égalite – Paix“
"","","Holzschachtel mit Verzierung,",""
29.04.2010 ,Zentrale ,Inhalt Krawatte,""
"","",Schale stehend auf drei Füßen,""
09.04.2010 ,Zentrale ,(Silberfarben),""
"","","Teller mit Mosaik aus Straußenei,",""
09.04.2010 ,Zentrale ,von Künstler Gideon,""
09.04.2010 ,Zentrale ,Schale mit afrikanischen Motiven,""
05.05.2010 ,Zentrale ,Designer-Glasschale nambe.com ,"99,-$"
15.04.2010 ,Zentrale ,Herren-Armbanduhr ,"ca. 90,-"
15.04.2010 ,Zentrale ,Damen-Armbanduhr ,"ca. 90,-"
"","","Hochwertige Herren-Armbanduhr, ","Über 1.000,-"
01.06.2010 ,Zentrale ,Tabbah,""
"","","hochwertige Herren-Armbanduhr, ","Über 1.000,-"
02.06.2010 ,Zentrale ,Hamilton,""
"","","hochwertige Herren-Armbanduhr, ","Über 1.000,-"
02.06.2010 ,Zentrale ,Tabbah,""
"","","hochwertige Herren-Armbanduhr,",""
02.06.2010 ,Zentrale ,„Van der Bauwede“ ,"ca. 2.000,-"
"","","hochwertige Herren-Armbanduhr,",""
02.06.2010 ,Zentrale ,„Armand Nicolet Tramelan“ ,ca. 6.-7.000
"","",hochwertige Damen-Armbanduhr,""
02.06.2010 ,Zentrale ,„Blancpain“ ,"Über 100,-"
"","","Buch v. Karen Blixen, Sven",""
02.06.2010 ,Zentrale ,Gothic Tales,""
"","",Edelstein mit Buch über,""
06.05.2010 ,Zentrale ,Edelsteine,""
"","","rotes Bild, Öl auf Leinwand (Motiv",""
19.05.2010 ,Zentrale ,2 Pferde/Esel),""
"","",traditionell jüdisches Trinkgefäß,""
19.05.2010 ,Zentrale ,aus Porzellan,""
22.04.2010 ,Zentrale ,Pullover,""
23.05.2010 ,Zentrale ,braune Vase,""
"","",Holzkiste mit Schnitzerei und,""
"","",Perlmutt + Tischdecke und,""
23.05.2010 ,Zentrale ,Servietten,""
"","","Bilderrahmen, Motiv: goldener",""
21.05.2010 ,Zentrale ,Zedernbaum,""
"","",Dreieckige silberne Schale mit,""
22.05.2010 ,Zentrale ,Gravur,""
23.05.2010 ,Zentrale ,Kleiner Dolch,""
"","","Buch """"The Art of Flying -",""
"","",Singapore through the Lens of,""
??? ,Zentrale ,"Russel Wong""""",""
17.05.2010 ,Zentrale ,Vase und Bildband,""
18.05.2010 ,Zentrale ,Vase und Bildband,""
"","",Herren-Armbanduhr „Armand,""
02.06.2010 ,Zentrale ,Nicolet LS8“ ,8000
"","","","Über 1.000,-"
07.06.2010 ,Zentrale ,Damen-Armbanduhr „Montega“,""
"","",Damen-Armbanduhr „Gérald ,"Über 1.000,-"
08.06.2010 ,Zentrale ,Genta“,""
"","",Miniatur des Al-Masmak Castle in,""
01.06.2010 ,Zentrale ,Gold,""
??? ,Zentrale ,"Buch ""National Palace of Mexiko""",""
08.06.2010 ,Zentrale ,schwarzes Portemonnaie,""
08.06.2010 ,Zentrale ,Porzellanschale (ca. 15 x 15 cm),""
"","","Buch """"Castles and manors of",""
14.06.2010 ,Zentrale ,"Latvia""""",""
14.06.2010 ,Zentrale ,Silbermünze,""
"","",Goldene Maske in Form eines,""
25.06.2010 ,Zentrale ,Männergesichts (Blattgold),""
"","",Kubistisches Bild in Holzrahmen,""
22.06.2010 ,Zentrale ,(ca. 12 cm x 15 cm),""
"","",Russisches Lackbild (ca. 20 cm x,""
22.06.2010 ,Zentrale ,30 cm),""
"","","Holzfigur mit Untersetzern,",""
21.06.2010 ,Zentrale ,Tasche,""
"","",Eingerahmte rumänische,""
25.06.2010 ,Zentrale ,Briefmarke,""
25.06.2010 ,Zentrale ,Wein Jahrgang 1990,""
??? ,Zentrale ,Blackberry,""
"","","","4.000-8.000,-"
21.06.2010 ,Zentrale ,Herrenarmbanduhr „Tabbah“,""
"","","","4.000-8.000,-"
23.06.2010 ,Zentrale ,Herren-Armbanduhr „Tabbah“,""
"","",Herren-Armbanduhr „Gio ,"4.000-8.000,-"
04.06.2010 ,Zentrale ,Monaco“,""
05.07.2010 ,Zentrale ,Holzschiff klein,""
05.07.2010 ,Zentrale ,Holzschiff groß,""
05.07.2010 ,Zentrale ,Armbanduhr Korea,""
05.07.2010 ,Zentrale ,Manschettenknöpfe,""
05.07.2010 ,Zentrale ,Brieföffner,""
05.07.2010 ,Zentrale ,Laura Biagiotti Parfum,""
05.07.2010 ,Zentrale ,"CD """"Visegrad""""",""
05.07.2010 ,Zentrale ,Manschettenknöpfe Silber,""
05.07.2010 ,Zentrale ,Heiligenteller,""
05.07.2010 ,Zentrale ,Streichholzschachte Singapur,""
05.07.2010 ,Zentrale ,Tortenheber,""
05.07.2010 ,Zentrale ,2 Biografien Obama,""
05.07.2010 ,Zentrale ,Blumenbild,""
"","",Eau de Toilette/Duschgel,""
05.07.2010 ,Zentrale ,Chairman Black,""
05.07.2010 ,Zentrale ,Schal Paschmina (2 mal),""
05.07.2010 ,Zentrale ,Wandteppich Lesotho,""
"","","Tischdecke Weihnachten,",""
05.07.2010 ,Zentrale ,Philippinen,""
05.07.2010 ,Zentrale ,Bild Leopard mit Fell
05.07.2010 ,Zentrale ,Kalebasse
05.07.2010 ,Zentrale ,Porzellan Elefant
05.07.2010 ,Zentrale ,Krokodil Holz
05.07.2010 ,Zentrale ,Ameisenbär Holz
05.07.2010 ,Zentrale ,2 Wandteller Klein
05.07.2010 ,Zentrale ,1 Wandteller groß
05.07.2010 ,Zentrale ,2 Vasen
05.07.2010 ,Zentrale ,kleine weiße Skulptur
05.07.2010 ,Zentrale ,Bild Mongolei Gold
05.07.2010 ,Zentrale ,Bild Bunt
05.07.2010 ,Zentrale ,"kleine Dose Messing, Irak"
05.07.2010 ,Zentrale ,kleine Dose Gold und Blau
05.07.2010 ,Zentrale ,Holztruhe groß
05.07.2010 ,Zentrale ,Holztruhe bunt
05.07.2010 ,Zentrale ,Fossile
"","","Buch """"Literat und Europäer,"
08.07.2010 ,Zentrale ,"Tagebücher 1"""", Sandor Marai"
05.07.2010 ,Zentrale ,5 Münzen 925er Silber von 1989
"","","Buch """"Epizentrum des"
"","","Friedens"""", Nursultan Nasarbajew"
"","","Buch """"Das Haus des"
"","","Heimatlosen"""", Herold Belger"
"","","Buch """"Kasachstan - Daten -"
"","","Fakten - Hintergründe"""" CDs"
"","","""""Musical Heritage of"
"","","Kazakhstan"""" Broschüre """"Der"
