Datum Dienststelle ,"",Beschreibung ,Wert
05.05.2015 Zentrale ,"""Old Tbilisi"" - Pastell im Holzrahmen von Gia Lashkhi",""
28.04.2015 Zentrale ,Quarz auf Metall-Teller,""
04.05.2015 Zentrale ,Wandteppich,""
05.05.2015 Zentrale ,Halzskulptur,""
07.05.2015 Zentrale ,Puzzle im Rahmen,""
10.06.2015 Zentrale ,"Druck, Romeo Britto"
08.06.2015 Zentrale ,"Leopard, Ton"
10.06.2015 Zentrale ,"Wahrzeichen, gold/silber, gerahmt"
07.05.2015 Zentrale ,Silberfigur Frau mit Schwert auf Steinsockel
07.05.2015 Zentrale ,"goldener Kamm mit Figuren, gerahmt"
10.06.2015 Zentrale ,Tasse mit Untertasse
13.05.2015 Zentrale ,silberne Schale mit Rosen
13.05.2015 Zentrale ,"Gedenkmünze, Silber"
04.06.2015 Zentrale ,Porzellanteller
29.05.2015 Zentrale ,Wandteller. Holz
26.05.2015 Zentrale ,"Kreuz, Holz lackiert"
09.06.2015 Zentrale ,Versteinerung Holz
09.06.2015 Zentrale ,Lemur mit Kugel
07.07.2015 Ref. 600 ,"Buch ""Geschichte Südeuropas"""
14.04.2015 Bo. Doha ,Rolex Damenuhr in Edelstahl
GK,""
12.05.2015 Bangalore ,silberne Schale
07.06.2015 Ref. 700 ,Damenarmanduhr mit schwarzem Lederarmband
12./13.05.2015Ref. 700 ,Herrenarmbanduhr Tissot
Stellv. Leiter,""
12./13.05.2015Abt. 7 ,Herrenarmbanduhr Tissot
28.05.2015 Ref. 105 ,silberne Kette mit Malteserkreuz-Anhänger
11.06.2015 Bo. Lusaka ,Kravatte Toyota
08.07.2015 Bo. Kabul ,Armani Kravatte
12./13.05.2015Ref. 700 ,Herrenarmbanduhr Tissot
24.03.2015 AS-AFGPAK ,Halstuch
09.02.2015 Bo. Peking ,Kindle E-Book-Reader
"",21. Edition der Armbanduhr mit Originalstein der
13./14.04.2015Bo. Prag ,Dresdner Frauenkirche
26.03.2015 Ref. 602 ,Silberfigur unter Rahmen
26.03.2015 Ref. 602 ,gerahmtes Mosaik
21.05.2015 Ref. 508 ,vergoldetes traditionelles nomadisches Trinkgefäß
25.03.2015 Zentrale ,Schreibtischset Porzellan
28.01.2015 Zentrale ,Porzellanteller
02.04.2015 Zentrale ,Silberschale
25.03.2015 Zentrale ,Bild im Rahmen
27.05.2015 Zentrale ,Porzellan / Schreibutensilien
unbekannt Zentrale ,"",Figur Reiter aus Metall
unbekannt Zentrale ,"",Figur Elefeant
AS-AFG-,"",""
21.04.2015 PAK ,"",9 Hugo Boss Kravatten
16.07.2015 Zentrale ,"","Flagge mit Ständer, Kolumbien"
16.07.2015 Zentrale ,"",Buch über Algerien
16.07.2015 Zentrale ,"","Kunsthandwerk, Dolche"
16.07.2015 Zentrale ,"",Buch über Katar
16.07.2015 Zentrale ,"","Kunsthandwerk, Kiste Indien"
16.07.2015 Zentrale ,"",DVD über Neuseeland
12.06.2015 Zentrale ,"","Lampe, Holz (010-7)"
17.06.2015 Zentrale ,"",Manschettenknöpfe
Zentrale ,"",Silbermünze in Herzform mit Schwanenmotiv
16.07.2015 Zentrale ,"",Saxophonspieler-Holzfigur (010-6)
10.08.2015 Zentrale ,"",Falke auf Handschuh silberfarben
16.08.2015 Zentrale ,"",Holzdose
29.08.2015 Zentrale ,"",Die Maus (Büro BM)
18.08.2015 Zentrale ,"","Wandteller, Silber"
20.08.2015 Zentrale ,"","Schmuckschatulle, Holz"
28.08.2015 Zentrale ,"","Gefäß, Silber"
30.08.2015 Zentrale ,DVD
30.08.2015 Zentrale ,"Kerzenständer, Lapislazuli - (defekt von BM-VzVase, Lapislazuli"
30.08.2015 Zentrale ,übergeben)
31.08.2015 Zentrale ,"Schale, Silber"
31.08.2015 Zentrale ,"Schale, Silber"
31.08.2015 Zentrale ,"Schale, Silber"
30.08.2015 Zentrale ,"Notizbuch, Leder mit Bambusstiften"
30.08.2015 Zentrale ,Plakette mit Medaille
30.08.2015 Zentrale ,"Buch, in Leder gebunden"
30.08.2015 Zentrale ,Teppich (010-0)
"","Book of Ecclesiastes, of the Preacher, illustrations by"
nicht bekannt Zentrale ,Ernst Neizvestny
18.09.2015 Zentrale ,"Schale, Glas mit Metalldeko"
18.09.2015 Zentrale ,Porzellanteller und -flasche
18.09.2015 Zentrale ,Vase
21.09.2015 Zentrale ,"Boot, Porzellan"
21.09.2015 Zentrale ,Kanne
21.09.2015 Zentrale ,Zuckerdose
21.09.2015 Zentrale ,Milchkännchen
21.09.2015 Zentrale ,"Tassen, Untertassen"
22.09.2015 Zentrale ,Kanne
22.09.2015 Zentrale ,Zuckerdose
22.09.2015 Zentrale ,Untertassen
22.09.2015 Zentrale ,Tassen
21.09.2015 Zentrale ,Acryl auf Leinwand
30.09.2015 Zentrale ,"gerahmtes Bild zisil. Blume, Silber"
14.04.2015 Zentrale ,"Holzschachtel mit ""Pfauenbild"""
