|Winterbild im Rahmen |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Mikimoto - Bilderrahmen |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|2 dekorative chinesische Porzellanfiguren (Drachen) |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Fensterbild |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|kl. Wandteller- Motiv: 'St. Anrew's Chuzch' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Translator- 6 Languages (Taschenpocket) |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|6 Trinkbecher aus Stein in bl. Samtbox (1 Becher defekt) |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Kristallschale mit Zinnstiel |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Tasse mit Unterteller |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bildband: 'Bulgarien - Weg der europ. Zivilation' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Mont Blanc Kugelschreiber |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Krawatte; 'Eugenio Marinella' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bosch PMB 300 L - Laser-Maßband |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Buch: 'Otto Dix in Gera' v. Lothar Toepel |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Buch: 'Hundert Jahre Einsamkeit' Garcia Märquez |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|kunstgefertigten Mantel/Umhang |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Wandbild mir Rahmen|, verglast , 2010, 09, 22, 00.00, false,| false|, fate, n.a.
|kl. bewegl. Puppe aus Holz |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|kl. Kunstgewerbliche Hand(-gelenk)tasche |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Waterford Kristallschale |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|1 Packung Parfüm 'Armada Black' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|4 Omani-Ringe in Schatulle |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|kl. Vase aus Metall |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|7 griechische Silbermünzen im ·Karton |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bildband 'Tokaj' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Ikone aus Holz |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bildband 'Polska Poland' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bernsteinkette |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Silbermünze 'Kasachstan' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bildrolle aus Stoff 'The Forbidden City' |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|Bildband/ -katalog: Traditionelle Bekleidung der Kasachen |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|limitierte Espresso-Tasse- Marke Rosenthai |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
|kl. Box mit 4 Kupferbecher |, 2010, 09, 22, 00.00, false, false,| fate|, n.a., BMWI
