|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Kaffee|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Kaffee|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 FI. Spirituose|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,32.90,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|Bewirtung|,2015,00,00,10.00,True,False,|Eigenbehalt|,True,BMF
|1 Fl. Spirituose|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Briefmarken|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Münzen|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Roll-on Eau de Toilette|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Tee|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 FI. Sekt|,2015,00,00,50.00,False,True,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|kl. Quarz-Uhr|,2015,00,00,10.00,True,False,|Eigenbehalt|,True,BMF
|1 Fl. Wein, Wurst|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|diverse Kleinigkeiten|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|diverse Kleinigkeiten|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Briefbeschwerer, Stofftasche|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|kl. Quarz-Uhr|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|Kaffeetassen|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch, 1 Fl. Wein|,2015,00,00,00.00,False,False,|Verwertung|,False,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Tee|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Krawatte, Kaffee|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Krawatte, Kaffee|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|kl. Quarz-Uhr, gerahmtes Bild|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Holzschnitt mit Zollemblem|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,00.00,False,False,|Verwertung|,False,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Bild|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|1 Dose, 3 Medaillen, 1 Schachtel|,2015,00,00,00.00,True,False,|teilweise Verwertung|,False,BMF
|1 Buch|,2015,00,00,68.00,False,True,|Verwertung|,False,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Halstuch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Halstuch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,18.00,True,False,|Eigenbehalt|,True,BMF
