|Kalender der Fa. SAP |, 0000, 00, 00, 00.00, True, False,| kostenfreie Überlassung|, success, BMV
|ein Buch ein silberfarbener Teller |, 0000, 00, 00, 0, True, False,|  Gastgeschenk ist in das Eigentum des Bundes übergegangen|, fail, BMV
|Präsentkarton mit drei Flaschen Wein |, 0000, 00, 00, 025.00, False, False,| kostenfreie Überlassung |, success, BMV
|Tischuhr im Holzwürfel |, 0000, 00, 00, 00.00, True, False,| kostenfreie Überlassung|, success, BMV
|Wappen |, 0000, 00, 00, 00.00, True, False,| kostenfreie Überlassung|, success, BMV
|Wappen |, 0000, 00, 00, 00.00, True, False,| kostenfreie Überlassung|, success, BMV
|Wappen |, 0000, 00, 00, 00.00, True, False,| kostenfreie Überlassung|, success, BMV
|Kugelschreiber |, 0000, 00, 00, 00.00, True, False,| kostenfreie Überlassung|, success, BMV
|diverse Wandkalender verschiedener Firmen im Wert von je 5|,- bis 10,- Euro , 0000, 00, 00, 00.00,| True|, False, kostenfreie Überlassung
|ein Erinnerungsfoto ehemaliger Bw-Soldaten und eine Flasche Allgäuer Gebirgsenzian |, 0000, 00, 00, 00.00, True, False,| kostenfreie Überlassung|, success, BMV
|Herrenduft|, 50 ml , 0000, 00, 00, 0, True,| False|, Gastgeschenk ist in das Eigentum des Bundes übergegangen , fail
|Damenduft|, 30 ml , 0000, 00, 00, 0, True,| False|, Gastgeschenk ist in das Eigentum des Bundes übergegangen, fail
