28/12/2010,"Bildband ""Hidden China"" von Alessandra Meniconzi",x,, ,x,x,
26/8/2010,1 silbernen Schutzengel-Schlüsselanhänger,x,,x,,,
1/12/2010,Regenschirm bei Gespräch zum ELENA-Verfahren,x,,x,,,
16/3/2010,"Buch von Daniel Kehlmann ""Die Vermessung der Welt"" für dienstl. Vortrag ",x,,x,,,
17/12/2010,Einladung  zum Eishockey-Bundesliga-Spiel in Berlin,,x,,,,x
8/11/2010,Einfaches gerahmtes Bildchen mit traditioneller chin. Darstellung bei Besuch einer 25-köpfigen chin. Besuchergruppe am 02.11.2010 in Berlin zu einem Vortrag zum Thema Arbeitsschutzsystem in Deutschland,x,,x,,,
2/3/2010,"CD ""Soldier of Love"" von Sade im Rahmen der Sitzung der Pflegekommission am 01.03.2010",x,,x,,,
3/12/2010,Heidelberger Christstollen (1.500 g) ,x,,x,,,
2/3/2010,Rückgabe Cebit-Tageskarte,,x,,,,x
17/6/2011,Buch als Geburtstagsgruß ,x,,x,,,
20/12/2011,Tischkalender als Dank für die gute Zusammenarbeit,x,,x,,,
19/12/2011,"Buch ""Zeitbombe Internet"" als Weihnachtspräsent",x,,x,,,
19/12/2011, Glas Honig und ein Tütchen Wildblumensamen als Weihnachtspräsent,x,,x,,,
12/10/2011,"Unaufgeforderte Zusendung des Buches ""Ich arbeite in einem Irrenhaus"" ",x,,x,,,
25/7/2011,"Flasche Wein (Staatliche Weinbaudomäne Oppenheim, Riesling trocken)",x,,x,,,
5/10/2011,1 Küchenmesser (Obstmesser) aus Solingen mit vergoldeter Klinge bei Implementierungsreise Stadt Solingen am 16.09.2011,x,,x,,,
25/7/2011,Flasche Wein (Wachtenburg Secco weiß trocken),x,,x,,,
16/11/2011,Adventskalender mit Schokoladenfüllung von Vivento zur Weihnachtszeit,x,,x,,,
1/9/2011,Kugelschreiber und Schlüsselanhänger bei Treffen einer südkoreanischen Regierungsdelegation im BMAS,x,,x,,,
16/9/2011,Bild von Behinderten bei Ausstellungsgestaltung ,x,,x,,,
27/4/2011,Keramikfigur als Gastgeschenk der chin. Delegation; Gespräch zur Arbeitsmarkt- und Sozialpolitik in Deutschland,x,,x,,,
27/4/2011,grüner Schal als Gastgeschenk bei bilateralem Gespräch zur Vertiefung der Zusammenarbeit mit dem vietnam. Partnerministerium,x,,,,x,
27/4/2011,Vase als Gastgeschenk für Teilnahme am ASEM-Forum in Vietnam,x,,x,,,
24/6/2011,Kleiner Holzfächer bei Besuch einer koreanischen Delegation am 15.06.2011,x,,x,,,
10/1/2011,Schmuckkästchen durch Besuch einer Delegation aus Korea am 16.11.2011,x,,x,,,
10/1/2011,Kleine Vase durch Besuch einer Delegation aus China,x,,x,,,
10/1/2011,Schreibset als Weihnachtsgruß,x,,x,,,
10/1/2011,Taschenspiegel mit Schlüsselanhänger,x,,x,,,
10/1/2011,Kamm,x,,x,,,
18/11/2011,Gastgeschenk der vietnamesischen Delegation am 18.11.2011 - ein Teebehälter,x,,x,,,
7/4/2011,"Buch des norwegischen Autors Bjornstad ""Die Frau im Tal"" für Vortrag zu CSR anl. Sitzung Norw. Wirtschaftsrat ",x,,x,,,
23/12/2011,Wandkalender/Schokolade,X,,X,,,
19/9/2011,Seidenschal von Chin. Delegation d. Nationalen Kommission für Bevölkerung und Familienplanung der Volksrepublik China,x,,x,,,
10/1/2011,Taschenspiegel und Wandteller bei Besuch einer Delegation aus China am 13.12.2010,x,,x,,,
9/3/2011,Buch bei Besuch einer Delegation aus China,x,,x,,,
14/3/2011,"Flasche Brut Magnum im Rahmen einer Veranstaltung ""MCC Zukunftsmarkt Altersvorsorge""",x,,x,,,
16/6/2011,"1 Flasche Weißwein, 1 DVD (Die Päpstin) ",x,,x,,,
8/8/2011,"Buch/Katalog ""Kunst trotz(t) Armut""",x,,x,,,
15/6/2011,Glas - geformt wie Kohlblätter - bei Betreuung der chin. Delegation am 09.06.2011,x,,,,x,
21/9/2011,1 Küchenmesser (Obstmesser) aus Solingen mit vergoldeter Klinge bei Implementierungsreise Stadt Solingen am 16.09.2011,x,,x,,,
13/1/2011,Kicker-Spiel als Weihnachtsgruß,x,,x,,,
1/7/2011,Mittagessen bei Int. Delegation der OECD,x,,x,,,
1/9/2011,Kugelschreiber und Schlüsselanhänger bei Treffen einer südkoreanischen Regierungsdelegation im BMAS,x,,x,,,
26/10/2011,Kochbuch für Betreuung einer Inhouse-Schulung ,x,,x,,,
8/9/2011,1 Motivteller bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011),x,,x,,,
8/9/2011,"1 Mini-Bildband Australien, 1 Anstecknadel bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011)",x,,x,,,
8/9/2011,"Broschüren zur Stadtinformation, 4 Ansichtskarten, 8 Stück Süßigkeiten, incl. Beutel bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011)",x,,x,,,
8/9/2011,1 Etui mit Nagelpflegeutensilien (mit Aufdruck) bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011),x,,x,,,
8/9/2011,1 Fächer bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011),x,,x,,,
8/9/2011,"15-teiliges Besteckset, bestehend aus Löffeln und Esstäbchen bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011)",x,,x,,,
8/9/2011,"1 Notizzettelhalter, 1 Schlüsselanhänger, 1 Anstecknadel bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011)",x,,x,,,
8/9/2011,1 ungefülltes Schmuckkästchen bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011),x,,x,,,
18/3/2011,1 Flache Wein bei Vortrag beim Deutschen Bauernverband,x,,x,,,
11/1/2011,Pralinen von Leonidas als Präsent zum Jahreswechsel/Dank für Zusammenarbeit,x,,x,,,
3/1/2011,Wandkalender für Infogespräch mit Integrationsamt Berlin,x,,x,,,
8/9/2011,1 Etui mit Nagelpflegeutensilien (mit Aufdruck) bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011),x,,x,,,
8/9/2011,"Broschüren zur Stadtinforamtion, 4 Ansichtskarten, 8 Stück Süßigkeiten, incl. Beutel bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011)",x,,x,,,
8/9/2011,1 Motivteller bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011),x,,x,,,
8/9/2011,1 ungefülltes Schmuckkästchen bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011),x,,x,,,
8/9/2011,"1 Notizzettelhalter, 1 Schlüsselanhänger, 1 Anstecknadel bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011)",x,,x,,,
8/9/2011,"15-teiliges Besteckset, bestehend aus Löffeln und Esstäbchen bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011)",x,,x,,,
8/9/2011,1 Fächer bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011),x,,x,,,
8/9/2011,"1 Mini-Bildband Australien, 1 Anstecknadel bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011)",x,,x,,,
8/9/2011,1 Minibildband Neuseeland bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011),x,,x,,,
8/9/2011,1 Briefbeschwerer bei Teilnahme am internationalen Workshop in Seoul (31.08.-05.09.2011),x,,x,,,
2/12/2011,Taschenbuch von der Arbeitsgemeinschaft für Betriebl. Altersvorsorge eV).,,x,,x,x,
25/2/2011,Notizbuch als Weihnachtsgeschenk und Buch als Dank für die geleistete Arbeit im Projektbeirat,x,,x,,,
28/12/2011,"Kl. Buch m. Sachgeschichten, 180g Lindt-Pralinen, Notizblock, Wandkalender",x,,x,,,
14/12/2011,65 g Lindt-Weihnachtsschokolade als Weihnachtsgruß,x,,x,,,
14/12/2011,Holzstern als Weihnachtsgruß,x,,x,,,
14/12/2011,Monatskalender 2011 (Eigenherstellung des ICP) als Neujahrsgruß,x,,x,,,
16/12/2011,Schwarzwälter Schiken Weihnachtsgruß,x,,x,,,
15/12/2011,Christstollen als Aufmerksamkeit für Weihnachten,x,,x,,,
10/1/2011,Kiste mit sechs Pears (Birnenfrüchte) als Weihnachts-/Neujahrsgruß,x,,x,,,
10/6/2011,Publikation: The White House - The History Of An American Idea bei Veranstaltung im BMAS zur deutschen Arbeitsmarktpolitik,x,,x,,,
18/11/2011,Thermobecher,x,,x,,,
18/7/2011,"Schreibblock, Kugelschreiber, Klebezettel von Bund-Länder-Ausschuss ",x,,x,,,
18/7/2011,Mittagessen Deutscher Landkreistag,x,,x,,,
13/9/2011,"Tischuhr (versilbert) bei Besuch einer niederländischen Delegation, bestehend aus Abgeordneten des nierdel. Parlaments",,x,,x,x,
17/11/2011,1 Thermobecher mit dem LOGO IAS im Zuge der Zusammenarbeit,x,,x,,,
14/2/2011,CeBIT-Karte Hannover,,x,,x,,
12/4/2011,Grillfest ehem. Kollegen am Rhein/Nutzung Tiefgarage + Imbiss,x,,x,,,
19/12/2011,"Buch ""Zeitbombe Internet"" als Weihnachtspräsent",x,,x,,,
7/6/2011,"Eintrittskarte Bundesgartenschau Koblenz, Sitzung des Begleitausschusses des Landes Rheinland-Pfalz ",x,, ,x,,
26/7/2011,"Flasche Wein (Staatliche Weinbaudomäne Oppenheim, Riesling trocken)",x,,x,,,
26/7/2011,Flasche Wein (Wachtenburg Secco weiß trocken),x,,x,,,
4/1/2011,Kalender,x,,x,,,
4/1/2011,Adventskalender,x,,x,,,
21/12/2011,Wandkalender als Weihnachtspräsent,x,,x,,,
29/11/2011,Wandkalender Ikebana 2012,x,,x,,,
10/1/2011,Stickereimotive (im Plastikrahmen) am 11.11.2010,x,,x,,,
10/1/2011,Bild bei Besuch einer Delegation aus China am 02.11.2010,x,,x,,,
10/1/2011,Qayang Golek (Schattenpuppe aus Plastik) bei Besuch einer Delegation aus Indonesien am 20.12.2010,x,,x,,,
20/6/2011,3 Flaschen Sekt ,x,,x,,,
27/10/2011,1 Küchenmesser (Obstmesser) aus Solingen mit vergoldeter Klinge bei Implementierungsreise Stadt Solingen,x,,x,,,
27/4/2011,Vase als Gastgeschenk für Teilnahme am ASEM-Forum in Vietnam,x,,x,,,
27/4/2011,Krawatte als Gastgeschenk bei bilateralem Gespräch zur Vertiefung der Zusammenarbeit mit dem vietnamesischen Partnerministerium,x,,x,,,
1/8/2011,"Buch ""Fußballgötter und ihre Philosophien""",x,,,x,x,
27/10/2011,1 Flasche Wein bei Verwanstaltung am 25.08.11 bei GDA,x,,x,,,
19/10/2011,"DVD, Rosenöl bei Expertengespräch einer bulgarischen Delegation am 18.10.2011",x,,x,,,
22/6/2011,"Buch ""Arme habe ihr allezeit"" ",x,,x,,,
2/12/2011,Taschenbuch von der Arbeitsgemeinschaft für Betriebl. Altersvorsorge eV).,,x,,x,x,
19/10/2011,"DVD, Rosenöl bei Expertengespräch einer bulgarischen Delegation am 18.10.2011",x,,x,,,
29/12/2011,"Relief Wandkalender 2012 der Deutschen Zentralbücherei für Blinde in Leipzig (DZB) - ""chinesische Tierkreiszeichen im Braille-Druck""",x,,x,,,
15/12/2011,Wandkalender als Weihnachtsgruß,x,,x,,,
3/1/2011,Brettspiel Kick it ,x,,x,,,
24/11/2011,"Buch ""Das Krebs Buch"" ",x,,,x,x,
13/12/2011,"Ein vierfarbiger Siebdruck von Peter Steiner und Regina Steiner nach einem Entwurf der Künstler für die Sonderbriefmarke ""Altstadt Regensburg"" der BRD als Weihnachtsgruß",,x,,,x,
21/12/2011,Taschenkalender unaufgefordert zugesandt,x,,x,,,
27/12/2011,"1 Päckchen grüner Tee, ein Wandkalender aus Stoff, ein Halstuch",x,,x,,,
8/12/2011,Wandkalender als Weihnachtsgruß,x,,x,,,
1/8/2011,Flasche Wein (Wachtenburg Secco weiß trocken),x,,x,,,
19/9/2011,"Buch ""Ich arbeite in einem Irrenhaus"" bei 1 Jahr Zeitchancen ",x,,x,,,
21/9/2011,1 Küchenmesser (Obstmesser) aus Solingen mit vergoldeter Klinge bei Implementierungsreise Stadt Solingen am 16.09.2011,x,,x,,,
11/10/2011,Unaufgeforderte Zusendung des Stat. Jahrbuchs 2011 des Stat. Bundesamtes,,x,,x,x,
20/6/2011,3 Flaschen Sekt Zusendung per Post nach Begleitung der Ministerin zu einem Termin bei der Henkell Senktkellerei,x,,x,,,
14/6/2011,"Übernachtungskosten im Hotel Kloster, Geisenheim-Johannisberg am 15.06.2011 bei 30-jährigem Bestehen SOKA Bau",,x,,x,,
16/2/2011,"Kleine Schachtel Pralinen von Lindt (Creola) bei Vortragsrehie zum Inkrafttreten der reformierten Unfallverhütungsvorschrift ""Betriebsärtze und Fachkräfte für Arbeitssicherheit""",x,,x,,,
,Bronzeabbild Pferde mit Wagen auf Holz bei Übergabe bei chin. Delegation bei ehrenamtlicher Tätigkeit (Vortrag) ,x,,,,x,
12/7/2011,"Buch ""Fußballgötter und ihre Philosophien"" von Arbeitgeberverband Pflege unaufgefordert zugesandt",x,,x,,,
8/9/2011,"Druckbleistift,Stofftragetasche bei Gespräch über atypische Beschäftigung in DEU und Japan am 02.09.11",x,,,,x,
6/6/2011,Herrenarmbanduhr Bocchia Titanium bei Hauptstadtkongress der Offensive Mittelstand am 12.05.2011 im BMAS Berlin,,x,,,x,
14/12/2011,"1 Stück Schwarzwälder Schinken als Weihnachtsgruß eines Partners des betreuten INQA-Initiativkreises ""Offensive Mittelstand""",x,,x,,,
14/12/2011,Koreanische Lackdose als Gastgeschenk für den Empfang einer koreanischen Delegation,x,,x,,,
28/3/2011,Nagelpflegeetui,x,,x,,,
14/1/2011,Wein: Südtiroler Sauvignon 2008 als Weihnachtsgruß,x,,x,,,
21/12/2011,1 Flasche Wein als Aufmerksamkeit zu Weihnachten,x,,x,,,
3/2/2011,"Kommentar zum Kündigungsschutzgesetz (Thüsing/Laux/Lembke, 2. Auflage)",,x,,x,x,
