Visitenkartenbox und Schlüsselanhänger/Delegation Südafrika, 2010, 3, 22, 00,00, Behalten, success, BMAS
"Brettspiel ""kick it"" als Weihnachtsgruß bei Ordensveranstaltung 2010", 2010, 12, 20, 00,00, Behalten, success, BMAS
Kalender 2011 bei Ordensveranstaltung 2011, 2010, 12, 21, 00,00, Behalten, success, BMAS
"Einlad. Festakt/Galabuffet ""Mestermacher Preis Spitzenvater 2010"" Restaurant Deutscher Bundestag/dienst. Nutzung", 2010, 1, 13, 00,00, Behalten (Dienstgebrauch), success, BMAS
"Einlad. Essen im Adlon ""Mestermacher Preises Managerin des Jahres 2010"" dienst. Nutzung am 17.09.2010", 2010, 7, 15, 00,00, Behalten (Dienstgebrauch), success, BMAS
Teilnahme an einem Essen im Hotel InterContinental zur Verleihung des Mestermacher Preises Spitzenvater des Jahres 2011, 2010, 11, 11, 00,00, Behalten, success, BMAS
2 Flaschen Wein für Vortrag bei Stadt Ulm zur UN-Behindertenkonvention, 2010, 4, 1, 00,00, Behalten, success, BMAS
"2 Packungen Räucherstäbchen, 2010, 4, 22, 00,00, Behalten (Dienstgebrauch), success, BMAS
"Brettspiel ""kick it"" als Weihnachtsgruß bei Ordensveranstaltung 2010", 2010, 12, 21, 00,00, Behalten, success, BMAS
dünnes Seidentüchlein/Gespräch zu Fragen der ges. Unfallversicherung mit Herrn aus Taiwan, 2010, 4, 28, 00,00, Behalten, success, BMAS
"Visitenkartenetui aus Edelstahl mit Dekor von Director Equal Employment Policy Division, 2010, 3, 23, 00,00, Rueckgabe, fail, BMAS
"1 Flasche Qualitätswein Ahr 0, 2010, 12, 22, 00,00, Behalten (Dienstgebrauch), success, BMAS
"1 Stück Schwarzwälder Schinken, 2010, 12, 22, 00,00, Abgabe Dienstherr, fail, BMAS
"Taschenbuch ""Erfolgreiche Beratung"" ", 2010, 12, 22, 00,00, Abgabe Dienstherr, fail, BMAS
Haarmeyer/Wutzke/Förster Präsenzkommentar zur Insolvenzordnung bei Gläubigerforum am 18.11.2010, 2010, 11, 19, 00,00, Behalten, success, BMAS
Haarmeyer/FrindInsolvenzrecht bei Gläubigerforum am 18.11.2010, 2010, 11, 19, 00,00, Behalten, success, BMAS
