"Buch ""Juristinnen"" von Marion Röwekamp ", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/6, Abgabe Dienstherr, BMAS, success
Strohhauers Original Heidelberger Christstollen, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/7, Behalten, BMAS, success
Vier Tassen, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/7, Behalten, BMAS, success
"Buch ""Einundzwanzig Jahrhundertgefahren Jahrhundertchancen""", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/10, Abgabe Dienstherr, BMAS, success
2 Bücher: Aus Politik und Kultur 7; Digitalisierung: Kunst und Kultur sowie 2 Bücher: Aus Politik und Kultur 6; Künstlerleben: Zwischen Hype und Havarie v. Olaf Zimmermann/Theo Geißler im Rahmen einer Besprechung, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/20, Abgabe Dienstherr, BMAS, success
"Porzellanbecher, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/28, Behalten, BMAS, success
"Bildband ""Hidden China"" von Alessandra Meniconzi", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/28, Abgabe Dienstherr, BMAS, success
1 silbernen Schutzengel-Schlüsselanhänger, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/8/26, Behalten, BMAS, success
Regenschirm bei Gespräch zum ELENA-Verfahren, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/1, Behalten, BMAS, success
"Buch von Daniel Kehlmann ""Die Vermessung der Welt"" für dienstl. Vortrag ", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/3/16, Behalten, BMAS, success
Einladung  zum Eishockey-Bundesliga-Spiel in Berlin, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/17, Behalten, BMAS, success
Einfaches gerahmtes Bildchen mit traditioneller chin. Darstellung bei Besuch einer 25-köpfigen chin. Besuchergruppe am 02.11.2010 in Berlin zu einem Vortrag zum Thema Arbeitsschutzsystem in Deutschland, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/8, Behalten, BMAS, success
"CD ""Soldier of Love"" von Sade im Rahmen der Sitzung der Pflegekommission am 01.03.2010", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/3/2, Behalten, BMAS, success
Heidelberger Christstollen (1.500 g), Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/3, Behalten, BMAS, success
Rückgabe Cebit-Tageskarte, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/3/2, Behalten, BMAS, success
Buch als Geburtstagsgruß, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/6/17, Behalten, BMAS, success
Tischkalender als Dank für die gute Zusammenarbeit, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/12/20, Behalten, BMAS, success
"Buch ""Zeitbombe Internet"" als Weihnachtspräsent", Bundesministerium fuer Arbeit und Soziales, 2015, 2011/12/19, Behalten, BMAS, success
 Glas Honig und ein Tütchen Wildblumensamen als Weihnachtspräsent, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/12/19, Behalten, BMAS, success
"Unaufgeforderte Zusendung des Buches ""Ich arbeite in einem Irrenhaus"" ", Bundesministerium fuer Arbeit und Soziales, 2015, 2011/10/12, Behalten, BMAS, success
"Flasche Wein (Staatliche Weinbaudomäne Oppenheim, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/7/25, Behalten (Dienstgebrauch), BMAS, success
1 Küchenmesser (Obstmesser) aus Solingen mit vergoldeter Klinge bei Implementierungsreise Stadt Solingen am 16.09.2011, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/10/5, Behalten, BMAS, success
Flasche Wein (Wachtenburg Secco weiß trocken), Bundesministerium fuer Arbeit und Soziales, 2015, 2011/7/25, Behalten, BMAS, success
Adventskalender mit Schokoladenfüllung von Vivento zur Weihnachtszeit, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/11/16, Behalten, BMAS, success
Kugelschreiber und Schlüsselanhänger bei Treffen einer südkoreanischen Regierungsdelegation im BMAS, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/9/1, Behalten, BMAS, success
Bild von Behinderten bei Ausstellungsgestaltung, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/9/16, Behalten, BMAS, success
Keramikfigur als Gastgeschenk der chin. Delegation; Gespräch zur Arbeitsmarkt- und Sozialpolitik in Deutschland, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/4/27, Behalten, BMAS, success
grüner Schal als Gastgeschenk bei bilateralem Gespräch zur Vertiefung der Zusammenarbeit mit dem vietnam. Partnerministerium, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/4/27, Abgabe Dienstherr, BMAS, success
Vase als Gastgeschenk für Teilnahme am ASEM-Forum in Vietnam, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/4/27, Behalten, BMAS, success
Kleiner Holzfächer bei Besuch einer koreanischen Delegation am 15.06.2011, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/6/24, Behalten, BMAS, success
Schmuckkästchen durch Besuch einer Delegation aus Korea am 16.11.2011, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/1/10, Behalten, BMAS, success
Kleine Vase durch Besuch einer Delegation aus China, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/1/10, Behalten, BMAS, success
Schreibset als Weihnachtsgruß, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/1/10, Behalten, BMAS, success
Taschenspiegel mit Schlüsselanhänger, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/1/10, Behalten, BMAS, success
Kamm, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/1/10, Behalten, BMAS, success
Gastgeschenk der vietnamesischen Delegation am 18.11.2011 - ein Teebehälter, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/11/18, Behalten, BMAS, success
"Buch des norwegischen Autors Bjornstad ""Die Frau im Tal"" für Vortrag zu CSR anl. Sitzung Norw. Wirtschaftsrat ", Bundesministerium fuer Arbeit und Soziales, 2015, 2011/4/7, Behalten, BMAS, success
Wandkalender/Schokolade, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/12/23, Behalten, BMAS, success
Seidenschal von Chin. Delegation d. Nationalen Kommission für Bevölkerung und Familienplanung der Volksrepublik China, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/9/19, Behalten, BMAS, success
Taschenspiegel und Wandteller bei Besuch einer Delegation aus China am 13.12.2010, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/1/10, Behalten, BMAS, success
Buch bei Besuch einer Delegation aus China, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/3/9, Behalten, BMAS, success
"Flasche Brut Magnum im Rahmen einer Veranstaltung ""MCC Zukunftsmarkt Altersvorsorge""", Bundesministerium fuer Arbeit und Soziales, 2015, 2011/3/14, Behalten, BMAS, success
"1 Flasche Weißwein, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/6/16, Behalten (Dienstgebrauch), BMAS, success
"Buch/Katalog ""Kunst trotz(t) Armut""", Bundesministerium fuer Arbeit und Soziales, 2015, 2011/8/8, Behalten, BMAS, success
Glas - geformt wie Kohlblätter - bei Betreuung der chin. Delegation am 09.06.2011, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/6/15, Abgabe Dienstherr, BMAS, success
1 Küchenmesser (Obstmesser) aus Solingen mit vergoldeter Klinge bei Implementierungsreise Stadt Solingen am 16.09.2011, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/9/21, Behalten, BMAS, success
Kicker-Spiel als Weihnachtsgruß, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/1/13, Behalten, BMAS, success
Mittagessen bei Int. Delegation der OECD, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/7/1, Behalten, BMAS, success
Kugelschreiber und Schlüsselanhänger bei Treffen einer südkoreanischen Regierungsdelegation im BMAS, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/9/1, Behalten, BMAS, success
Kochbuch für Betreuung einer Inhouse-Schulung, Bundesministerium fuer Arbeit und Soziales, 2015, 2011/10/26, Behalten, BMAS, success
