Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
3 Eintrittskarten, Bundesfinanzministerium, 2015, 150,00 ,  Verwertung, BMF, fail
1 Fl. Wein nein Verwertung 102 nicht ermittelbar Bewirtung, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
'Kugelschreiber, Duschgel, Notizblock', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
'1 Buch nein Aufnahme Bestand Bibliothek ca. 15,00 € 1 Flasche Sekt, Konfekt', Bundesfinanzministerium, 2015, ca 101,00 , Behalten, BMF, success
Eintrittskarte, Bundesfinanzministerium, 2015, 30,00 , Behalten, BMF, success
kl. Schmuckkästchen, Bundesfinanzministerium, 2015, < 25,00 ,  Verwertung, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, 24,00 ,  Aufnahme Bestand Bibliothek < 25,00 € Miniatur-Wandschirm , BMF, fail
Computermouse, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Computermouse, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Stoffbild, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Trinkflasche, Bundesfinanzministerium, 2015, < 11,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, 30,00 , Behalten, BMF, success
Schokolade, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Blumenstrauß, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Keramikpfeife, Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
'Tagungsteilnahme, Bewirtung', Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
'Tagungsteilnahme, Bewirtung', Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bild auf Leder, Bundesfinanzministerium, 2015, ca. 10,00 , Behalten, BMF, success
Schokolade, Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, ca. 15,00 , Behalten, BMF, success
1 Flasche Wein, Bundesfinanzministerium, 2015, ca. 10,00 , Behalten, BMF, success
1 kl. Handgefertigte Skulptur, Bundesfinanzministerium, 2015, ca. 10,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, ca. 20,00 , Behalten, BMF, success
2 F. Wein, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Präsentkorb, Bundesfinanzministerium, 2015, ca. 20,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, ca. 20,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Halstuch, Bundesfinanzministerium, 2015, ca. 20,00 , Behalten, BMF, success
1 Münze, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Kugelschreiber, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
1 FI. Spirituose, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Schokolade, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Tagungsteilnahme, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
'Porzellanfigur,Krawatte', Bundesfinanzministerium, 2015, n.a.,  Verwertung, BMF, fail
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Kaffee, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
Kaffee, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, < 20,00 , Behalten, BMF, success
1 FI. Spirituose, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, 32,90 ,  Aufnahme Bestand Bibliothek, BMF, fail
