1 Buch  "…neue Wege, alte Ziele" , Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Buch "Unterwegs zu Luther", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch "Deutschland im Schuldensog", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
4 Bogen selbst gestaltetes Geschenk- papier, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Spiegel, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
"1 Audio-CD ""Tatort: Das Böse""", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch  " Friedensethik und Sicherheitspolitik" , Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Kiste Lebkuchen, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Tasche, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Fächer, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Poster, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
"1 Buch ""Welterbe –  Der Hildesheimer Dom und seine Schätze""", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Verbleib beim Beschäftigten,  unter der Voraussetzung der Entrichtung  einer Spende an eine karitative Einrichtung im  (geschätzten) Gegenwert des Geschenks, BMFSFJ, success
1 Tasse WDR-Lokalzeit, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Präsentkorb, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, Wert  < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Packung Lebkuchen, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, Wert  < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Breifmarkenbuch aus Seide mit Texten  von/über Konfuzius, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Visitenkarten-Dose, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Buch, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
zwei Flaschen Wein, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Topf Senf, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Lebkuchen der  Jugendzeitschrift  "Spiesser", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 mit Muscheln gestaltete Scheibe, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Handtuch, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Kerzenständer, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch "Der schönste Platz Berlins", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
Briefmarken  "Jüdischer Hochzeitsring Erfurt", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch "Viel und Wenig", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
