Apple iPad Mini ME 279LL/A An: New York, Auswärtiges Amt, 2014/11/19, , Geschenkelager, AA, fail
geschnitztes Werk mit Photo BM, Auswärtiges Amt, 2015/02/26, , Geschenkelager, AA, fail
Messing Figur "Trommler", Auswärtiges Amt, 2015/02/26, , Geschenkelager, AA, fail
Braune Leder-Brieftasche, Auswärtiges Amt, 2015/03/02, , Geschenkelager, AA, fail
Zentrale, Auswärtiges Amt, 2015/03/09, gerahmtes Bild Deutsche Bahn, Geschenkelager, AA, fail
Münze vergoldet, Auswärtiges Amt, 2015/03/09, , Geschenkelager, AA, fail
Anstecknadel vergoldet, Auswärtiges Amt, 2015/03/09, , Geschenkelager, AA, fail
Leder-Notizmappe A4, Auswärtiges Amt, 2015/03/12, , Geschenkelager, AA, fail
Lackierte Holzschale  An: Zentrale , Auswärtiges Amt, 2015/03/13, ,Geschenkelager, AA, fail
gerahmtes Bild, "The Temple of Jupiter Olympius,, Auswärtiges Amt, 2015/03/13, ,Geschenkelager, AA, fail
Athens", J Sands, Date 1839  An: Zentrale , Auswärtiges Amt, 2015/02/10, , Kunstarchiv Fr., AA, fail
Münze - Schnee-Leopard, silber  An: Zentrale , Auswärtiges Amt, 2015/03/31, ,Geschenkelager, AA, fail
2 Trinkgefäße, Bernstein/silber  An: Zentrale , Auswärtiges Amt, 2015/04/13, ,Geschenkelager, AA, fail
schwarz-weiß Stich, gerahmt  An: Zentrale , Auswärtiges Amt, 2015/03/09, ,Geschenkelager, AA, fail
gebundenes Notizbuch  An: Zentrale , Auswärtiges Amt, 2015/04/13, ,Geschenkelager, AA, fail
cremefarbener Kugelschreiber  An: Zentrale , Auswärtiges Amt, 2015/04/13, ,Geschenkelager, AA, fail
Teekanne und 2 Becher  An: Zentrale , Auswärtiges Amt, 2015/04/13, ,Geschenkelager, AA, fail
Uhr Seiko Astron GPS Solar  An: Zentrale , Auswärtiges Amt, 2015/04/13, 1.800 , Tresor, AA, fail
Bilderrahmen, silber  An: Zentrale , Auswärtiges Amt, 2015/04/14, ,Geschenkelager, AA, fail
Lapislazuli-Platte mit silbernen Torbogen  An: Zentrale , Auswärtiges Amt, 2015/04/23, ,Geschenkelager, AA, fail
Tonfigur "Vinca Ladies"  An: Zentrale , Auswärtiges Amt, 2015/05/01, ,Geschenkelager, AA, fail
Zwei Kristallgläser mit Goldrand  An: Zentrale , Auswärtiges Amt, 2015/05/01, ,Geschenkelager, AA, fail
"Old Tbilisi" - Pastell im Holzrahmen von Gia Lashkhi  An: Zentrale , Auswärtiges Amt, 2015/05/05, ,Geschenkelager, AA, fail
Quarz auf Metall-Teller  An: Zentrale , Auswärtiges Amt, 2015/04/28, ,Geschenkelager, AA, fail
Wandteppich  An: Zentrale , Auswärtiges Amt, 2015/05/04, ,Geschenkelager, AA, fail
Halzskulptur  An: Zentrale , Auswärtiges Amt, 2015/05/05, , VZ-BM, AA, success
Puzzle im Rahmen  An: Zentrale , Auswärtiges Amt, 2015/05/07, ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2015/06/10, Druck, Romeo Britto , 010-0, AA, fail
Zentrale , Auswärtiges Amt, 2015/06/08, Leopard, Ton , BM, AA, success
Zentrale , Auswärtiges Amt, 2015/06/10, Wahrzeichen, gold/silber, gerahmt ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2015/05/07, Silberfigur Frau mit Schwert auf Steinsockel ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2015/05/07, goldener Kamm mit Figuren, gerahmt ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2015/06/10, Tasse mit Untertasse ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2015/05/13, silberne Schale mit Rosen ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2015/05/13, Gedenkmünze, Silber ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2015/06/04, Porzellanteller ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2015/05/29, Wandteller. Holz ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2015/05/26, Kreuz, Holz lackiert ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2015/06/09, Versteinerung Holz ,Geschenkelager, AA, fail
Zentrale , Auswärtiges Amt, 2015/06/09, Lemur mit Kugel ,Geschenkelager, AA, fail
Ref. 600 , Auswärtiges Amt, 2015/07/07, Buch "Geschichte Südeuropas" ,Geschenkelager, AA, fail
