Schatulle mit seidenem Wandbehang, Bundesministerium des Innern, 2009-20011, mehrere Stoffschals 2 kleine Keramikkrüge 2 Sets Abzeichen Sondereinheit Speznaz 2 Wimpel Speznaz 1 Schachspiel 1 Bison Holz Wandwappen Innenministerium Belarus 1 bemalte Flasche mit 4 Kammern 1 Kaffeeservice", Tombola, BMI, success
1 Bierkrug, 1 Keramikbild, Bundesministerium des Innern, 2009-20011, mehrere Stoffschals 2 kleine Keramikkrüge 2 Sets Abzeichen Sondereinheit Speznaz 2 Wimpel Speznaz 1 Schachspiel 1 Bison Holz Wandwappen Innenministerium Belarus 1 bemalte Flasche mit 4 Kammern 1 Kaffeeservice", Tombola, BMI, success
Holztafel mit Motiven Seidenschal Buch m. Scherenschnitten, Bundesministerium des Innern, 2009-20011, mehrere Stoffschals 2 kleine Keramikkrüge 2 Sets Abzeichen Sondereinheit Speznaz 2 Wimpel Speznaz 1 Schachspiel 1 Bison Holz Wandwappen Innenministerium Belarus 1 bemalte Flasche mit 4 Kammern 1 Kaffeeservice", Tombola, BMI, success
Buch: Menschenrechtliche Standards in der Sicherheitspolitik, Bundesministerium des Innern, 2009-20011, mehrere Stoffschals 2 kleine Keramikkrüge 2 Sets Abzeichen Sondereinheit Speznaz 2 Wimpel Speznaz 1 Schachspiel 1 Bison Holz Wandwappen Innenministerium Belarus 1 bemalte Flasche mit 4 Kammern 1 Kaffeeservice", Dauerleihgabe, BMI, success
Tasche m. Post-Logo Briefmarken (eigenes Foto) Kugelschreiber/Bleistift v. Faber-Castell, Bundesministerium des Innern, 2009-20011, unter 25,00 , Tombola Selbstbehalt Versteigerung, BMI, success
Glasvase, Bundesministerium des Innern, 2009-20011, unter 25,00 , Tombola, BMI, success
Appetize-Besteck, Bundesministerium des Innern, 2009-20011, unter 25,00 , Tombola, BMI, success
2 Gutscheine Lufthansa, Bundesministerium des Innern, 2009-20011, a 25€, Reisestelle Z 8, BMI, success
Stäbchen, Schal, Wandbehang, Standbild, Bundesministerium des Innern, 2009-20011, a 25€, Tombola, BMI, success
Buch "Faszination Fankurve", Bundesministerium des Innern, 2009-20011, a 25€, Tombola, BMI, success
